step,condition,metric,value
1,Privileged,Social-optimal rate,0.616
2,Privileged,Social-optimal rate,0.5006229508196721
3,Privileged,Social-optimal rate,0.5441311475409836
4,Privileged,Social-optimal rate,0.4784108606557377
5,Privileged,Social-optimal rate,0.4517552371971565
6,Privileged,Social-optimal rate,0.4664331991392234
7,Privileged,Social-optimal rate,0.4495447829356608
8,Privileged,Social-optimal rate,0.4346091231755736
9,Privileged,Social-optimal rate,0.44624066103661963
10,Privileged,Social-optimal rate,0.4115666911912638
11,Privileged,Social-optimal rate,0.44080461875665616
12,Privileged,Social-optimal rate,0.470007019640473
13,Privileged,Social-optimal rate,0.45841039216787244
14,Privileged,Social-optimal rate,0.4785743087983544
15,Privileged,Social-optimal rate,0.45993173726592457
16,Privileged,Social-optimal rate,0.47536687683899526
17,Privileged,Social-optimal rate,0.452746697340296
18,Privileged,Social-optimal rate,0.441211971745347
19,Privileged,Social-optimal rate,0.41600979728944115
20,Privileged,Social-optimal rate,0.4086521173753703
21,Privileged,Social-optimal rate,0.40554700268292976
22,Privileged,Social-optimal rate,0.4096732433431282
23,Privileged,Social-optimal rate,0.3700424795744334
24,Privileged,Social-optimal rate,0.409211766531331
25,Privileged,Social-optimal rate,0.42801066540122384
26,Privileged,Social-optimal rate,0.41813433277862255
27,Privileged,Social-optimal rate,0.425517285959895
28,Privileged,Social-optimal rate,0.43214482771821067
29,Privileged,Social-optimal rate,0.4436776808842219
30,Privileged,Social-optimal rate,0.4523793463023052
31,Privileged,Social-optimal rate,0.45634760027055915
32,Privileged,Social-optimal rate,0.4523061531832497
33,Privileged,Social-optimal rate,0.47029280204840324
34,Privileged,Social-optimal rate,0.4527465835610083
35,Privileged,Social-optimal rate,0.44023971165336667
36,Privileged,Social-optimal rate,0.42221696049981927
37,Privileged,Social-optimal rate,0.4448537764202173
38,Privileged,Social-optimal rate,0.42598930755574843
39,Privileged,Social-optimal rate,0.40347539565735835
40,Privileged,Social-optimal rate,0.4081695978560346
41,Privileged,Social-optimal rate,0.425182429335932
42,Privileged,Social-optimal rate,0.4251046204345936
43,Privileged,Social-optimal rate,0.453185881876748
44,Privileged,Social-optimal rate,0.4649336579102384
45,Privileged,Social-optimal rate,0.4802697923640199
46,Privileged,Social-optimal rate,0.49342348195713015
47,Privileged,Social-optimal rate,0.49954519911159895
48,Privileged,Social-optimal rate,0.4915100720082499
49,Privileged,Social-optimal rate,0.5005222238775446
50,Privileged,Social-optimal rate,0.49770243868411096
51,Privileged,Social-optimal rate,0.48624750706111214
52,Privileged,Social-optimal rate,0.46644708689304487
53,Privileged,Social-optimal rate,0.4830712317164844
54,Privileged,Social-optimal rate,0.4688996795409666
55,Privileged,Social-optimal rate,0.467636260878704
56,Privileged,Social-optimal rate,0.4759580741045684
57,Privileged,Social-optimal rate,0.4605432483804643
58,Privileged,Social-optimal rate,0.433837408865389
59,Privileged,Social-optimal rate,0.45887904469070356
60,Privileged,Social-optimal rate,0.4546515726666214
61,Privileged,Social-optimal rate,0.4562385242232515
62,Privileged,Social-optimal rate,0.47409566708039436
63,Privileged,Social-optimal rate,0.4706069467949471
64,Privileged,Social-optimal rate,0.4808175695055698
65,Privileged,Social-optimal rate,0.5090104998852346
66,Privileged,Social-optimal rate,0.5069621455309242
67,Privileged,Social-optimal rate,0.48225172082049955
68,Privileged,Social-optimal rate,0.4940337532210886
69,Privileged,Social-optimal rate,0.49013157165880855
70,Privileged,Social-optimal rate,0.4999878709588041
71,Privileged,Social-optimal rate,0.4979004975479013
72,Privileged,Social-optimal rate,0.4956292546386556
73,Privileged,Social-optimal rate,0.5052108579602781
74,Privileged,Social-optimal rate,0.5480622381250911
75,Privileged,Social-optimal rate,0.546751622135576
76,Privileged,Social-optimal rate,0.5488494705902055
77,Privileged,Social-optimal rate,0.5290211762101015
78,Privileged,Social-optimal rate,0.5534506201188124
79,Privileged,Social-optimal rate,0.5652387869221768
80,Privileged,Social-optimal rate,0.5716159223315703
81,Privileged,Social-optimal rate,0.5568096663012668
82,Privileged,Social-optimal rate,0.5713070954775951
83,Privileged,Social-optimal rate,0.5681114285852458
84,Privileged,Social-optimal rate,0.5734553122765975
85,Privileged,Social-optimal rate,0.5758339070195888
86,Privileged,Social-optimal rate,0.574666184250712
87,Privileged,Social-optimal rate,0.56449958317502
88,Privileged,Social-optimal rate,0.5555172192797413
89,Privileged,Social-optimal rate,0.5480979304939929
90,Privileged,Social-optimal rate,0.5711521176861111
91,Privileged,Social-optimal rate,0.5892343200751301
92,Privileged,Social-optimal rate,0.5746182085539923
93,Privileged,Social-optimal rate,0.5624942201588174
94,Privileged,Social-optimal rate,0.5554891040627923
95,Privileged,Social-optimal rate,0.5728671078959044
1,Privileged,Social-welfare efficiency,0.9659177471984645
2,Privileged,Social-welfare efficiency,0.9523420576634165
3,Privileged,Social-welfare efficiency,0.9297732099184944
4,Privileged,Social-welfare efficiency,0.8907430294449592
5,Privileged,Social-welfare efficiency,0.8822832408763415
6,Privileged,Social-welfare efficiency,0.8839178204890114
7,Privileged,Social-welfare efficiency,0.8826421011959502
8,Privileged,Social-welfare efficiency,0.8641603766686627
9,Privileged,Social-welfare efficiency,0.8496750558076858
10,Privileged,Social-welfare efficiency,0.8398883788675872
11,Privileged,Social-welfare efficiency,0.8391217940233154
12,Privileged,Social-welfare efficiency,0.8421901783250101
13,Privileged,Social-welfare efficiency,0.8262590223981093
14,Privileged,Social-welfare efficiency,0.8289010316437191
15,Privileged,Social-welfare efficiency,0.8133225433824364
16,Privileged,Social-welfare efficiency,0.8124969804023009
17,Privileged,Social-welfare efficiency,0.7919521480508359
18,Privileged,Social-welfare efficiency,0.7948052857586774
19,Privileged,Social-welfare efficiency,0.7805672349754689
20,Privileged,Social-welfare efficiency,0.7803153030022225
21,Privileged,Social-welfare efficiency,0.7845079950874041
22,Privileged,Social-welfare efficiency,0.8025750479451028
23,Privileged,Social-welfare efficiency,0.8025853302112911
24,Privileged,Social-welfare efficiency,0.8094110811440887
25,Privileged,Social-welfare efficiency,0.8161699036409644
26,Privileged,Social-welfare efficiency,0.822948295491723
27,Privileged,Social-welfare efficiency,0.8308936411918761
28,Privileged,Social-welfare efficiency,0.8054232696231479
29,Privileged,Social-welfare efficiency,0.7966176454182837
30,Privileged,Social-welfare efficiency,0.7897846040892497
31,Privileged,Social-welfare efficiency,0.8076380590594682
32,Privileged,Social-welfare efficiency,0.812406161706411
33,Privileged,Social-welfare efficiency,0.8175046344722922
34,Privileged,Social-welfare efficiency,0.8097267885253548
35,Privileged,Social-welfare efficiency,0.8324458322184157
36,Privileged,Social-welfare efficiency,0.8441805130006864
37,Privileged,Social-welfare efficiency,0.8557980468233822
38,Privileged,Social-welfare efficiency,0.8483980188339791
39,Privileged,Social-welfare efficiency,0.8466520373523029
40,Privileged,Social-welfare efficiency,0.853985114501467
41,Privileged,Social-welfare efficiency,0.8729653100224591
42,Privileged,Social-welfare efficiency,0.8734496581973482
43,Privileged,Social-welfare efficiency,0.8833877697961883
44,Privileged,Social-welfare efficiency,0.8954387057105936
45,Privileged,Social-welfare efficiency,0.9119229448284532
46,Privileged,Social-welfare efficiency,0.9094488409220045
47,Privileged,Social-welfare efficiency,0.9040109148043819
48,Privileged,Social-welfare efficiency,0.9027819392178141
49,Privileged,Social-welfare efficiency,0.9018933344774828
50,Privileged,Social-welfare efficiency,0.8987635095271821
51,Privileged,Social-welfare efficiency,0.8936352113599266
52,Privileged,Social-welfare efficiency,0.8922087660343074
53,Privileged,Social-welfare efficiency,0.9043594969837346
54,Privileged,Social-welfare efficiency,0.9082164143871153
55,Privileged,Social-welfare efficiency,0.9073695080910257
56,Privileged,Social-welfare efficiency,0.9112964395919952
57,Privileged,Social-welfare efficiency,0.9085103216636259
58,Privileged,Social-welfare efficiency,0.907745273737767
59,Privileged,Social-welfare efficiency,0.9129014487239238
60,Privileged,Social-welfare efficiency,0.9155320896304369
61,Privileged,Social-welfare efficiency,0.9155979204832552
62,Privileged,Social-welfare efficiency,0.9142711492341199
63,Privileged,Social-welfare efficiency,0.9144033785723436
64,Privileged,Social-welfare efficiency,0.9173319549330096
65,Privileged,Social-welfare efficiency,0.9209977159034678
66,Privileged,Social-welfare efficiency,0.9205830465548497
67,Privileged,Social-welfare efficiency,0.9117275379772438
