experiment,scenario,count,probability
baseline,all_three_share_top,7581,0.07581
baseline,only_prof_1_prof_2_share_top,18442,0.18442
baseline,only_prof_1_prof_3_share_top,18289,0.18289
baseline,only_prof_2_prof_3_share_top,18201,0.18201
baseline,no_pair_shares_top,36170,0.3617
baseline,multi_pair_without_all_three_common_top,1317,0.01317
baseline,malformed_or_missing_preferences,0,0.0
specialized_students,all_three_share_top,8012,0.08012
specialized_students,only_prof_1_prof_2_share_top,19462,0.19462
specialized_students,only_prof_1_prof_3_share_top,19283,0.19283
specialized_students,only_prof_2_prof_3_share_top,19106,0.19106
specialized_students,no_pair_shares_top,33913,0.33913
specialized_students,multi_pair_without_all_three_common_top,224,0.00224
specialized_students,malformed_or_missing_preferences,0,0.0
diverse_preferences,all_three_share_top,2926,0.02926
diverse_preferences,only_prof_1_prof_2_share_top,15529,0.15529
diverse_preferences,only_prof_1_prof_3_share_top,15771,0.15771
diverse_preferences,only_prof_2_prof_3_share_top,15728,0.15728
diverse_preferences,no_pair_shares_top,49101,0.49101
diverse_preferences,multi_pair_without_all_three_common_top,945,0.00945
diverse_preferences,malformed_or_missing_preferences,0,0.0
specialized_students_and_diverse_preferences,all_three_share_top,1916,0.01916
specialized_students_and_diverse_preferences,only_prof_1_prof_2_share_top,13937,0.13937
specialized_students_and_diverse_preferences,only_prof_1_prof_3_share_top,13900,0.139
specialized_students_and_diverse_preferences,only_prof_2_prof_3_share_top,13851,0.13851
specialized_students_and_diverse_preferences,no_pair_shares_top,56258,0.56258
specialized_students_and_diverse_preferences,multi_pair_without_all_three_common_top,138,0.00138
specialized_students_and_diverse_preferences,malformed_or_missing_preferences,0,0.0
