experiment,scenario,count,probability
baseline_random_permutation,all_three_share_top,7581,0.07581
baseline_random_permutation,only_prof_1_prof_2_share_top,18442,0.18442
baseline_random_permutation,only_prof_1_prof_3_share_top,18289,0.18289
baseline_random_permutation,only_prof_2_prof_3_share_top,18201,0.18201
baseline_random_permutation,no_pair_shares_top,36170,0.3617
baseline_random_permutation,multi_pair_without_all_three_common_top,1317,0.01317
baseline_random_permutation,malformed_or_missing_preferences,0,0.0
direct_distinct_top_feature,all_three_share_top,2926,0.02926
direct_distinct_top_feature,only_prof_1_prof_2_share_top,15529,0.15529
direct_distinct_top_feature,only_prof_1_prof_3_share_top,15771,0.15771
direct_distinct_top_feature,only_prof_2_prof_3_share_top,15728,0.15728
direct_distinct_top_feature,no_pair_shares_top,49101,0.49101
direct_distinct_top_feature,multi_pair_without_all_three_common_top,945,0.00945
direct_distinct_top_feature,malformed_or_missing_preferences,0,0.0
rejection_corr_le_0_3,all_three_share_top,1754,0.01754
rejection_corr_le_0_3,only_prof_1_prof_2_share_top,14728,0.14728
rejection_corr_le_0_3,only_prof_1_prof_3_share_top,14962,0.14962
rejection_corr_le_0_3,only_prof_2_prof_3_share_top,14804,0.14804
rejection_corr_le_0_3,no_pair_shares_top,52838,0.52838
rejection_corr_le_0_3,multi_pair_without_all_three_common_top,914,0.00914
rejection_corr_le_0_3,malformed_or_missing_preferences,0,0.0
rejection_corr_le_0_0,all_three_share_top,431,0.00431
rejection_corr_le_0_0,only_prof_1_prof_2_share_top,11518,0.11518
rejection_corr_le_0_0,only_prof_1_prof_3_share_top,11605,0.11605
rejection_corr_le_0_0,only_prof_2_prof_3_share_top,11602,0.11602
rejection_corr_le_0_0,no_pair_shares_top,64197,0.64197
rejection_corr_le_0_0,multi_pair_without_all_three_common_top,647,0.00647
rejection_corr_le_0_0,malformed_or_missing_preferences,0,0.0
rejection_corr_le_neg_0_1,all_three_share_top,130,0.0013
rejection_corr_le_neg_0_1,only_prof_1_prof_2_share_top,9663,0.09663
rejection_corr_le_neg_0_1,only_prof_1_prof_3_share_top,9552,0.09552
rejection_corr_le_neg_0_1,only_prof_2_prof_3_share_top,9615,0.09615
rejection_corr_le_neg_0_1,no_pair_shares_top,70523,0.70523
rejection_corr_le_neg_0_1,multi_pair_without_all_three_common_top,517,0.00517
rejection_corr_le_neg_0_1,malformed_or_missing_preferences,0,0.0
rejection_corr_le_0_0_distinct_top,all_three_share_top,454,0.00454
rejection_corr_le_0_0_distinct_top,only_prof_1_prof_2_share_top,11117,0.11117
rejection_corr_le_0_0_distinct_top,only_prof_1_prof_3_share_top,11080,0.1108
rejection_corr_le_0_0_distinct_top,only_prof_2_prof_3_share_top,11214,0.11214
rejection_corr_le_0_0_distinct_top,no_pair_shares_top,65514,0.65514
rejection_corr_le_0_0_distinct_top,multi_pair_without_all_three_common_top,621,0.00621
rejection_corr_le_0_0_distinct_top,malformed_or_missing_preferences,0,0.0
