experiment,scenario,count,probability
baseline_random_permutation,all_three_share_top,4417,0.04417
baseline_random_permutation,only_prof_1_prof_2_share_top,15214,0.15214
baseline_random_permutation,only_prof_1_prof_3_share_top,15417,0.15417
baseline_random_permutation,only_prof_2_prof_3_share_top,15488,0.15488
baseline_random_permutation,no_pair_shares_top,48685,0.48685
baseline_random_permutation,multi_pair_without_all_three_common_top,779,0.00779
baseline_random_permutation,malformed_or_missing_preferences,0,0.0
direct_distinct_top_feature,all_three_share_top,1049,0.01049
direct_distinct_top_feature,only_prof_1_prof_2_share_top,10645,0.10645
direct_distinct_top_feature,only_prof_1_prof_3_share_top,10878,0.10878
direct_distinct_top_feature,only_prof_2_prof_3_share_top,10713,0.10713
direct_distinct_top_feature,no_pair_shares_top,66275,0.66275
direct_distinct_top_feature,multi_pair_without_all_three_common_top,440,0.0044
direct_distinct_top_feature,malformed_or_missing_preferences,0,0.0
rejection_corr_le_0_3,all_three_share_top,690,0.0069
rejection_corr_le_0_3,only_prof_1_prof_2_share_top,10257,0.10257
rejection_corr_le_0_3,only_prof_1_prof_3_share_top,10403,0.10403
rejection_corr_le_0_3,only_prof_2_prof_3_share_top,10054,0.10054
rejection_corr_le_0_3,no_pair_shares_top,68191,0.68191
rejection_corr_le_0_3,multi_pair_without_all_three_common_top,405,0.00405
rejection_corr_le_0_3,malformed_or_missing_preferences,0,0.0
rejection_corr_le_0_0,all_three_share_top,105,0.00105
rejection_corr_le_0_0,only_prof_1_prof_2_share_top,6606,0.06606
rejection_corr_le_0_0,only_prof_1_prof_3_share_top,6527,0.06527
rejection_corr_le_0_0,only_prof_2_prof_3_share_top,6581,0.06581
rejection_corr_le_0_0,no_pair_shares_top,79995,0.79995
rejection_corr_le_0_0,multi_pair_without_all_three_common_top,186,0.00186
rejection_corr_le_0_0,malformed_or_missing_preferences,0,0.0
rejection_corr_le_neg_0_1,all_three_share_top,23,0.00023
rejection_corr_le_neg_0_1,only_prof_1_prof_2_share_top,4516,0.04516
rejection_corr_le_neg_0_1,only_prof_1_prof_3_share_top,4698,0.04698
rejection_corr_le_neg_0_1,only_prof_2_prof_3_share_top,4672,0.04672
rejection_corr_le_neg_0_1,no_pair_shares_top,85982,0.85982
rejection_corr_le_neg_0_1,multi_pair_without_all_three_common_top,109,0.00109
rejection_corr_le_neg_0_1,malformed_or_missing_preferences,0,0.0
rejection_corr_le_0_0_distinct_top,all_three_share_top,115,0.00115
rejection_corr_le_0_0_distinct_top,only_prof_1_prof_2_share_top,6068,0.06068
rejection_corr_le_0_0_distinct_top,only_prof_1_prof_3_share_top,5973,0.05973
rejection_corr_le_0_0_distinct_top,only_prof_2_prof_3_share_top,6116,0.06116
rejection_corr_le_0_0_distinct_top,no_pair_shares_top,81549,0.81549
rejection_corr_le_0_0_distinct_top,multi_pair_without_all_three_common_top,179,0.00179
rejection_corr_le_0_0_distinct_top,malformed_or_missing_preferences,0,0.0
