scenario,category,episodes,percent_of_scenario,consensus_rate,socially_optimal_rate,socially_optimal_given_consensus_rate
all_three_share_top,instant_decision,3,0.3333333333333333,1.0,1.0,1.0
all_three_share_top,negotiation,6,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5
only_prof_1_prof_2_share_top,instant_decision,7,0.3888888888888889,1.0,0.5714285714285714,0.5714285714285714
only_prof_1_prof_2_share_top,negotiation,11,0.6111111111111112,0.8181818181818182,0.36363636363636365,0.4444444444444444
only_prof_1_prof_3_share_top,instant_decision,3,0.14285714285714285,1.0,0.6666666666666666,0.6666666666666666
only_prof_1_prof_3_share_top,negotiation,18,0.8571428571428571,1.0,0.4444444444444444,0.4444444444444444
only_prof_2_prof_3_share_top,instant_decision,6,0.35294117647058826,1.0,0.16666666666666666,0.16666666666666666
only_prof_2_prof_3_share_top,negotiation,11,0.6470588235294118,1.0,0.5454545454545454,0.5454545454545454
no_pair_shares_top,instant_decision,11,0.3142857142857143,1.0,0.5454545454545454,0.5454545454545454
no_pair_shares_top,negotiation,24,0.6857142857142857,0.7916666666666666,0.4166666666666667,0.5263157894736842
