scenario,category,episodes,percent_of_scenario,consensus_rate,socially_optimal_rate,socially_optimal_given_consensus_rate
all_three_share_top,instant_decision,56,0.835820895522388,1.0,0.6428571428571429,0.6428571428571429
all_three_share_top,negotiation,11,0.16417910447761194,0.9090909090909091,0.36363636363636365,0.4
only_prof_1_prof_2_share_top,instant_decision,132,0.8407643312101911,0.9924242424242424,0.6818181818181818,0.6870229007633588
only_prof_1_prof_2_share_top,negotiation,25,0.1592356687898089,0.84,0.24,0.2857142857142857
only_prof_1_prof_3_share_top,instant_decision,133,0.6927083333333334,0.9924812030075187,0.5413533834586466,0.5454545454545454
only_prof_1_prof_3_share_top,negotiation,59,0.3072916666666667,1.0,0.3898305084745763,0.3898305084745763
only_prof_2_prof_3_share_top,instant_decision,112,0.5773195876288659,1.0,0.22321428571428573,0.22321428571428573
only_prof_2_prof_3_share_top,negotiation,82,0.422680412371134,0.9878048780487805,0.4146341463414634,0.41975308641975306
no_pair_shares_top,instant_decision,232,0.6073298429319371,0.9956896551724138,0.3275862068965517,0.329004329004329
no_pair_shares_top,negotiation,150,0.39267015706806285,0.8933333333333333,0.3466666666666667,0.3880597014925373
multi_pair_without_all_three_common_top,instant_decision,13,0.8125,1.0,0.46153846153846156,0.46153846153846156
multi_pair_without_all_three_common_top,negotiation,3,0.1875,1.0,0.3333333333333333,0.3333333333333333
